Cylinders,Engine Size(L),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km)
8,6.2,9.8,12.8,22,294
8,6.2,9.9,12.7,22,292
8,6.2,12.9,16.6,17,382
8,6.2,12.5,14.8,19,340
8,6.2,8.5,12,24,276
8,6.2,8.2,11.2,25,258
4,1.4,6.3,7.8,36,179
4,1.4,6.3,7.8,36,179
4,1.8,6.7,8.8,32,202
4,1.8,6.5,8.2,34,189
4,2,5.1,7.1,40,192
4,1.4,6,7.7,37,177
4,1.4,5.6,7.1,40,163
4,2.4,7.3,9.1,31,209
6,3.6,9.6,12,24,276
6,3.6,13.1,16.2,17,259
4,2.4,8.2,10,28,230
6,3.6,9.9,12.6,22,290
6,3.6,13.6,17,17,272
6,4.3,12.7,15.1,19,347
8,5.3,13.4,15.9,18,366
8,5.3,17.7,20.9,14,334
8,5.3,14.2,16.5,17,380
8,5.3,18.8,21.5,13,344
8,5.3,13.9,16.5,17,380
8,5.3,18.5,21.5,13,344
8,5.3,14.2,16.5,17,380
8,5.3,19.3,22.6,12,362
8,5.3,13.9,16.5,17,380
8,5.3,18.5,21.5,13,344
8,5.3,14.2,16.5,17,380
8,5.3,19.3,22.6,12,362
8,4.8,14.2,18,16,414
8,6,15,18.8,15,432
8,6,20.4,25.7,11,411
8,4.8,14.3,18.2,16,419
8,6,15,18.9,15,435
8,6,20.5,25.8,11,413
4,2.5,7.5,9.6,29,221
6,3.6,8.2,10.6,27,244
6,3.6,11.3,14.3,20,229
4,2.4,7,8.7,32,200
4,2,7.9,9.9,29,228
4,2.5,6.4,8,35,184
4,2.4,8.6,10.6,27,244
4,2.4,8.3,10.2,28,235
6,4.3,9.9,11.8,24,271
6,4.3,14.2,16.8,17,269
8,5.3,10.3,12.7,22,292
8,5.3,13.7,16.9,17,270
8,6.2,11.4,14.1,20,324
6,4.3,10.6,12.6,22,290
6,4.3,15.1,17.8,16,285
8,5.3,10.6,13,22,299
8,5.3,14.2,17.3,16,277
8,6.2,11.7,14.3,20,329
4,1.4,6.7,8,35,184
4,1.4,6.2,7.5,38,173
4,1.8,6.6,8.3,34,191
4,1.8,6.7,7.9,36,182
4,1.4,7,8.3,34,191
4,1.4,7,8,35,184
4,1.4,6.7,8,35,184
4,1.4,6.2,7.5,38,172
4,1.8,6.6,8.3,34,191
4,1.8,6.7,7.9,36,182
4,1.4,7,8.3,34,191
4,1.4,7,8,35,184
4,1.2,6,6.9,41,159
4,1.2,6,6.9,41,159
8,5.3,11.1,13.8,20,317
8,5.3,14.6,18.4,15,294
8,5.3,11.1,13.8,20,317
8,5.3,14.6,18.4,15,294
8,5.3,11.1,13.8,20,317
8,5.3,14.6,18.4,15,294
8,5.3,11.1,13.8,20,317
8,5.3,14.6,18.4,15,294
6,3.6,9.9,12.3,23,283
6,3.6,10.2,12.6,22,290
4,1.4,7.1,8.4,34,193
4,1.4,6.8,8.1,35,186
4,1.4,7.8,9,31,207
6,3.6,7.7,10.3,27,237
4,2.4,8.2,10.1,28,232
4,2.4,8.1,10.7,26,246
6,3.6,8.1,10.5,27,242
6,3.6,11.2,14.4,20,230
4,2.4,8,9.8,29,225
4,2.4,7.6,10,28,230
6,3.6,8.1,10.5,27,242
6,3.6,11.2,14.4,20,230
8,5.7,9.2,12.8,22,294
6,3.6,8.6,10.9,26,251
8,5.7,10,13.4,21,308
6,3.6,8.6,10.9,26,251
6,3.6,11.7,14.8,19,237
6,3.6,7.7,10.3,27,237
6,3.6,10.3,13.9,20,222
8,6.4,10.3,13.8,20,317
6,3.6,9.5,12,24,276
6,3.6,13.3,16.8,17,269
4,2.4,8,9.8,29,225
4,2.4,7.6,10,28,230
6,3.6,8.1,10.5,27,242
6,3.6,11.2,14.4,20,230
6,3.6,8.7,11.2,25,258
8,5.7,10,13.1,22,301
8,5.7,9.2,12.8,22,294
8,6.4,10.4,13.9,20,320
8,6.4,10.3,13.8,20,317
6,3.6,8.7,11.2,25,258
6,3.6,7.7,10.3,27,237
8,5.7,9.2,12.8,22,294
6,3.6,8.6,10.9,26,251
8,5.7,10,13.4,21,308
6,3.6,8.6,10.9,26,251
6,3.6,11.7,14.8,19,237
6,3.6,8.7,11.2,25,258
6,3.6,12.6,15.7,18,251
6,3.6,7.6,10.2,28,235
6,3.6,10.3,13.9,20,222
8,6.4,10.3,13.8,20,317
4,2,6.5,8.1,35,186
4,2.4,6.8,8.6,33,198
4,2.4,6.7,8.8,32,202
4,2,7,8.6,33,198
4,2,9.8,12.2,23,195
4,2.4,7.5,9.2,31,212
4,2.4,7,8.8,32,202
4,1.4,5.9,7.3,39,168
4,1.4,5.8,7.3,39,168
8,5.7,10.8,14.4,20,331
6,3.6,9.8,12.1,23,278
6,3.6,13,15.6,18,250
6,3.6,9.4,11.8,24,271
6,3.6,13.1,16.5,17,264
4,2.4,9.1,11.1,25,255
6,3.6,9.9,12.4,23,285
6,3.6,9.4,12,24,276
6,3.6,12.9,16.2,17,259
4,1.4,6.9,7.8,36,179
4,1.4,6.9,7.8,36,179
4,1.4,6.9,7.9,36,182
4,1.4,6.3,7.2,39,166
4,1.4,6.9,7.8,36,179
4,1.4,6.9,7.9,36,182
4,1.4,5.9,6.8,42,156
4,1.4,6.9,7.8,36,179
4,1.4,7.2,8.7,32,200
4,1.4,7.2,8.4,34,193
4,2,6.4,6,47,138
8,4.6,14.4,16.2,17,373
8,4.6,19.2,21.9,13,350
8,5.4,14.7,17.2,16,396
8,5.4,19.6,22.5,13,360
8,4.6,14.6,16.8,17,386
8,4.6,20,23,12,368
10,6.8,17.8,21.2,13,488
8,5.4,15.5,18.3,15,421
8,5.4,20.5,23.9,12,382
4,2,7.9,9.8,29,225
6,3.5,8.7,10.8,26,248
6,3.5,9.3,11.5,25,264
6,3.7,10.4,12.2,23,281
4,1.6,7.4,9.1,31,209
4,2,8,9.6,29,221
4,2.5,7.5,9.4,30,216
4,1.6,7.9,9.3,30,214
4,2,8.5,10,28,230
8,5.4,13.3,16,18,368
8,5.4,18,21.6,13,346
4,2,8.3,10.2,28,235
6,3.5,10.7,13,22,299
6,3.5,9.7,11.9,24,274
6,3.5,12.9,15.9,18,254
6,3.5,10.3,12.5,23,288
6,3.5,13.9,16.7,17,267
6,3.5,10.6,12.7,22,292
6,3.5,10.6,12.8,22,294
8,6.2,12.9,15.9,18,366
6,3.5,11.3,13.8,20,317
6,3.5,11,13.4,21,308
8,6.2,14.4,17.5,16,402
6,3.7,10.3,12.3,23,283
6,3.7,13.7,16.5,17,264
6,3.7,10.3,12.3,23,283
6,3.7,13.7,16.5,17,264
8,5,12.3,14.6,19,336
8,5,16.7,19.7,14,315
8,5,12.3,14.6,19,336
8,5,16.7,19.7,14,315
6,3.7,11.4,13.4,21,308
6,3.7,15.3,18,16,288
6,3.7,11.4,13.4,21,308
6,3.7,15.3,18,16,288
8,5,12.6,14.9,19,343
8,5,17,20,14,320
8,5,12.5,14.8,19,340
8,5,16.9,19.9,14,318
8,6.2,15,18,16,414
4,1.6,6.5,7.6,37,175
4,1.6,6.4,7.6,37,175
4,1,5.5,6.6,43,152
4,1.6,5.8,7,40,161
4,1.6,6.8,8,35,184
6,3.5,9.4,11.5,25,264
6,3.5,10.2,12.1,23,278
6,3.5,10.4,12.8,22,294
4,2,7.4,8.9,32,205
4,2,6.4,7.7,37,177
4,2,8.5,10.3,27,165
4,2,6.4,7.8,36,179
4,2,8.5,10.3,27,165
4,2,6.6,8,35,184
4,2,8.9,10.6,27,170
4,2,5.8,7.2,39,166
4,2,8.3,10.1,28,162
4,1.5,6.6,8.5,33,196
4,1.6,6.4,8.1,35,186
4,2,7.1,9,31,207
4,2.5,7,8.9,32,205
4,1.5,6.3,8.1,35,186
4,2,7.5,9.4,30,216
4,2,5.7,5.5,51,126
6,3.7,7.8,10.2,28,235
6,3.7,8.1,10.6,27,244
8,5,9.3,11.5,25,264
8,5,9.4,12.7,22,292
8,5.8,9.9,13.2,21,304
6,3.7,8.2,10.6,27,244
4,2,7.3,9.1,31,209
6,3.5,9.4,11.8,24,271
6,3.5,8.1,10.3,27,237
6,3.5,11.1,14.3,20,229
6,3.5,9.1,11.2,25,258
6,3.5,12.5,15.7,18,251
4,1.6,8,9.5,30,218
4,2.5,8.2,9.9,29,228
4,1.6,8.3,10.1,28,232
4,2.5,8.5,10.4,27,239
6,3.6,9.9,12.3,23,283
6,3.6,10.4,12.9,22,297
6,4.3,12.7,15.1,19,347
8,5.3,13.4,15.9,18,366
8,5.3,17.7,20.9,14,334
8,5.3,14.2,16.5,17,380
8,5.3,18.8,21.5,13,344
8,5.3,13.9,16.5,17,380
8,5.3,18.5,21.5,13,344
8,5.3,14.2,16.5,17,380
8,5.3,19.3,22.6,12,362
8,5.3,13.9,16.5,17,380
8,5.3,18.5,21.5,13,344
8,5.3,14.2,16.5,17,380
8,5.3,19.3,22.6,12,362
8,4.8,14.2,18,16,414
8,6,15,18.8,15,432
8,6,20.4,25.7,11,411
8,4.8,14.3,18.2,16,419
8,6,15,18.9,15,435
8,6,20.5,25.8,11,413
6,4.3,9.9,11.8,24,271
6,4.3,14.2,16.8,17,269
8,5.3,10.3,12.7,22,292
8,5.3,13.7,16.9,17,270
8,6.2,11.4,14.1,20,324
6,4.3,10.6,12.6,22,290
6,4.3,15.1,17.8,16,285
8,5.3,10.6,13,22,299
8,5.3,14.2,17.3,16,277
8,6.2,11.7,14.3,20,329
4,2.4,7.3,9.1,31,209
6,3.6,9.6,12,24,276
6,3.6,13.1,16.2,17,259
4,2.4,8.2,10,28,230
6,3.6,9.9,12.6,22,290
6,3.6,13.6,17,17,272
8,5.3,11.1,13.8,20,317
8,5.3,14.6,18.4,15,294
8,5.3,11.1,13.8,20,317
8,5.3,14.6,18.4,15,294
8,6.2,11.8,14.7,19,338
8,6.2,16.1,20.1,14,322
8,6.2,13.4,16.4,17,377
8,6.2,17.8,22.1,13,354
8,5.3,11.1,13.8,20,317
8,5.3,14.6,18.4,15,294
8,5.3,11.1,13.8,20,317
8,5.3,14.6,18.4,15,294
4,2.4,6.6,7.9,36,182
4,2.4,6.9,8.1,35,186
4,2.4,6.9,8.7,32,200
6,3.5,6.8,9.1,31,209
6,3.5,7.3,9.6,29,221
6,3.5,8.4,10.9,26,251
4,2,4.9,4.8,59,110
4,1.8,6,7,40,161
4,1.8,6.2,7.2,39,166
4,1.8,6.6,7.6,37,175
6,3.5,8.5,10.7,26,246
4,2.4,7.6,9.1,31,209
4,2.4,7.9,9.4,30,216
4,1.5,6,6.3,45,145
4,1.5,6.1,6.9,41,159
4,1.5,6.5,7.5,38,172
4,1.5,6.9,7.7,37,177
6,3.5,8.5,10.6,27,244
6,3.5,9.3,11.5,25,265
6,3.5,9.7,12,24,276
6,3.5,11.3,13.4,21,308
4,1.6,6.3,7.7,37,177
4,1.6,6.4,7.7,37,177
4,2,7.2,8.6,33,198
4,2,7,8.5,33,196
8,5,10.2,13.2,21,304
6,3.8,8.7,11.1,25,255
6,3.3,9.1,11.2,25,258
6,3.3,9.5,11.6,24,267
4,2.4,8.7,10.3,27,237
4,2,9.7,11.5,25,264
4,2.4,9.4,11.1,25,255
4,2,7.5,9.6,29,221
4,2.4,7,8.5,33,196
4,2.4,5.9,6.2,46,143
4,2.4,5.9,6.3,45,145
4,2,8.2,9.3,30,214
4,2,8.6,10.1,28,232
4,2.4,8.3,10,28,230
4,2,9.3,10.5,27,242
4,2.4,9.3,10.6,27,244
4,1.6,6.6,7.7,37,177
4,1.6,6.7,8,35,184
4,1.6,7.5,8.8,32,202
4,1.6,7.1,8.5,33,196
6,3.7,8,10.2,28,235
6,3.7,8.7,10.8,26,248
6,3.5,6.7,7.5,38,172
6,3.5,7.5,8.2,34,189
6,3.7,9.4,11.5,25,265
6,3.7,9.3,11.7,24,269
6,3.7,9.8,12.3,23,283
6,3.7,8.9,11.1,25,255
6,3.7,9.3,11.6,24,267
6,3.7,8.9,11,26,253
8,5.6,9.5,12.3,23,283
6,3.7,9.6,11.6,24,267
8,5.6,10.2,12.8,22,294
6,3.5,7,7.6,37,175
6,3.7,9.6,11.8,24,271
6,3.5,9,10.6,27,244
6,3.5,9.3,11,26,253
4,2.5,8.2,8.5,33,196
6,3.7,10.7,12.8,22,294
8,5,11.9,14.5,19,334
8,5.6,12.1,15,19,345
6,3,8.4,10.3,27,237
6,3,8.7,10.6,27,244
8,5,10.2,12.8,22,294
4,2,8.2,10.5,27,242
6,3,9.1,12.2,23,281
8,5,10.3,13.3,21,306
8,5,14.1,18.1,16,290
8,5,10.3,13.3,21,306
6,3,9.6,12.4,23,285
8,5,10.2,13.3,21,306
8,5,13.6,17.5,16,280
6,3,9.6,12.4,23,285
8,5,10.2,13.3,21,306
8,5,13.6,17.5,16,280
8,5,10.2,13.3,21,306
8,5,10.2,13.3,21,306
8,5,10.6,13.1,22,301
8,5,9.9,12.6,22,290
8,5,10.9,13.7,21,315
8,5,10.9,13.5,21,310
8,5,10.9,13.7,21,315
8,5,10.9,13.5,21,310
4,2.4,7.7,9.5,30,218
6,3.2,8.3,10.5,27,242
4,2.4,8.3,10,28,230
6,3.2,8.8,10.8,26,248
4,2.4,8.6,10.1,28,232
6,3.2,9.1,11,26,253
4,2.4,9.4,10.9,26,251
6,3.2,9.5,11.6,24,267
4,2,8.8,9.9,29,228
4,2,8.3,9.8,29,225
4,2,7.8,9.1,31,209
4,2.4,8.3,9.8,29,225
4,2.4,8.3,9.4,30,216
4,2.4,8.7,10.2,28,235
4,2.4,8.4,9.4,30,216
4,2.4,10.3,11.1,25,255
8,5.7,11.7,14.8,19,340
6,3,8.4,9.9,29,267
6,3.6,9.8,12.1,23,278
6,3.6,13,15.6,18,250
8,6.4,12.6,15.8,18,363
4,2,8.8,9.9,29,228
4,2,8.3,9.8,29,225
4,2,7.8,9.1,31,209
4,2.4,8.3,9.8,29,225
4,2.4,8.3,9.4,30,216
4,2.4,8.7,10.2,28,235
4,2.4,8.4,9.4,30,216
4,2.4,10.3,11.1,25,255
6,3.6,11.1,12.8,22,294
6,3.6,11,12.8,22,294
6,3.6,11.7,13.4,21,308
6,3.6,11.4,13.4,21,308
6,3.3,8.8,10.9,26,251
4,1.8,6.6,8.3,34,191
4,1.8,6.4,8,35,184
4,2,6.6,8.4,34,193
4,2,6.8,8.4,34,193
4,1.6,8,9.7,29,223
4,1.6,8.2,9.8,29,225
4,2,6.8,8.4,34,193
4,2,7,8.5,33,196
4,1.6,7.9,9.4,30,216
4,1.6,8.1,9.6,29,221
4,2,7,8.4,34,193
4,2,7.2,8.6,33,198
4,2,7.6,9.9,29,228
4,2.4,6.8,8.7,32,200
4,2.4,5.9,6.2,46,143
4,2.4,6,6.4,44,147
4,1.6,6.3,7.6,37,175
4,1.6,6.4,7.7,37,177
4,1.6,6.4,7.6,37,175
4,2,7.5,9.2,31,212
4,2,7.4,9.3,30,214
6,3.5,9.9,12,24,276
4,2.4,8.5,10.3,27,237
6,3.3,9.5,11.4,25,262
4,2.4,9.3,11,26,253
6,3.3,9.9,11.8,24,271
4,1.6,7.9,8.9,32,205
4,1.6,7.8,9,31,207
4,2,7.8,9.1,31,209
4,2,7.8,8.8,32,202
4,2.4,8.3,10,28,230
4,2.4,9.3,11.3,25,260
4,2,9.7,11.4,25,262
4,2.4,9.1,10.7,26,246
12,6.5,12.9,18.3,15,421
10,5.2,12.8,15.7,18,361
10,5.2,13.5,17.4,16,400
4,2,9.9,11.9,24,274
6,3,12.4,14.5,19,334
4,2,7.9,9.8,29,225
4,2,7.9,9.8,29,225
8,5,12.2,15.4,18,354
8,5,12.5,15.1,19,347
8,5,16.9,21.4,13,342
6,3,10.2,12.4,23,285
6,3,10.2,12.4,23,285
6,3,14.9,17.4,16,278
8,5,12.2,15,19,345
8,5,12.3,14.7,19,338
8,5,16.6,20.7,14,331
6,3,10.1,12.3,23,283
6,3,10.1,12.3,23,283
6,3,14.8,17.3,16,277
8,5,12.2,15.4,18,354
8,5,12.5,15.1,19,347
8,5,16.9,21.4,13,342
4,1.8,5.8,5.6,50,129
4,2.5,6.2,6,47,138
6,3.5,7.6,9.6,29,221
6,3.5,8.3,10.4,27,239
6,3.5,9.1,11,26,253
6,3.5,7.4,7.6,37,175
8,4.6,11.8,13.9,20,320
6,2.5,7.8,9.7,29,223
6,2.5,8.7,10.4,27,239
6,2.5,7.8,9.7,29,223
6,3.5,8.7,10.6,27,244
6,3.5,9.1,11,26,253
6,3.5,8.7,10.6,27,244
8,5,10.1,12.6,22,290
8,4.6,9.6,12.3,23,283
8,4.6,10.3,12.9,22,297
8,4.6,10.3,12.9,22,297
8,5,10.7,11.4,25,262
8,5.7,13.6,16.5,17,380
6,3.5,9.8,11.7,24,269
6,3.5,9.1,11.1,25,255
6,3.5,8.6,8.2,34,189
6,3.5,9.4,11.8,24,271
6,3.7,9,11.3,25,260
6,3.5,10.4,12.8,22,294
4,2,8.5,10.2,28,235
6,3.7,9.9,12.2,23,281
6,3.7,10.4,12.2,23,281
4,2,7.1,9,31,207
6,3.7,9.3,11.4,25,262
4,2,6.4,6.3,45,145
8,5.4,13.3,16,18,368
8,5.4,18,21.6,13,346
6,3,9.6,12.7,22,292
6,3,9.6,12.7,22,292
8,4.7,11.4,15.1,19,347
8,4.7,11.7,15.3,18,352
8,3.8,10.7,14.5,19,334
6,3,9.7,13.1,22,301
4,2,7.3,8.2,34,189
4,2,6.8,8,35,184
4,2.5,7.4,8.6,33,198
4,2,7.6,8.5,33,196
4,2.5,7.9,8.9,32,205
6,3.7,10,12.3,23,283
6,3.7,10.6,12.6,22,290
4,1.5,6.9,7.7,37,177
4,1.5,6.7,7.4,38,170
4,2,5.7,6.9,41,159
4,2,5.8,7,40,161
4,2.5,6.1,7.4,38,170
4,2.5,6.1,7.3,39,168
4,2,5.8,7,40,161
4,2,5.9,7.1,40,163
4,2,5.9,7.2,39,166
4,2.5,6.5,7.7,37,177
4,2.5,6.1,7.3,39,168
4,2,5.9,7.2,39,166
4,2.5,8.4,9.7,29,223
4,2.5,8.3,9.8,29,225
4,2.5,6.2,7.6,37,175
4,2.5,6.4,8.1,35,186
4,2.5,5.9,7.3,39,168
4,2,8.5,10.2,28,235
4,2,8.5,9.6,29,221
4,2,8.4,9.9,29,228
4,2,6.6,8,35,184
4,1.8,7.5,9.4,30,216
4,1.8,7.4,9.4,30,216
6,3.5,8.5,10.5,27,242
6,3.5,11.1,14,20,224
6,3.5,8.6,10.5,27,242
6,3.5,8.6,10.4,27,239
6,3.5,8.7,10.6,27,244
6,3.5,8.6,10.5,27,242
8,6.2,11.9,15.1,19,347
8,6.2,12.2,15.3,18,352
8,4.7,10.4,13.2,21,304
8,5.5,11,13.4,21,308
4,2,6.2,7.8,36,179
4,2,7.8,9.2,31,212
8,4.7,9.4,11.5,25,264
8,5.5,10.7,13.1,22,301
8,5.5,10.7,13.1,22,301
4,2.1,5.7,7.2,39,194
6,3.5,8.2,10.2,28,235
6,3.5,8.1,10,28,230
6,3.5,8.5,10.4,27,239
6,3.5,8.6,10.5,27,242
6,3.5,8.5,10.4,27,239
6,3.5,8.2,10.2,28,235
6,3.5,7.9,8.8,32,202
8,4.7,9.1,11.6,24,267
8,4.7,9.3,11.7,24,269
8,4.7,8.9,11.4,25,262
8,5.5,10.3,12.9,22,297
8,5.5,11,13.5,21,310
8,5.5,10.3,12.9,22,297
8,5.5,11,13.5,21,310
8,5.5,15.9,18.2,16,419
8,5.5,15.7,17.7,16,407
6,3,10.2,12,24,324
8,4.7,12.8,15.2,19,350
8,4.7,13.1,15.6,18,359
8,5.5,13.4,15.8,18,363
4,2.1,7.1,8.5,33,230
6,3.5,9.6,11.3,25,260
6,3.5,10.5,12.1,23,278
6,3.5,13.8,16,18,256
6,3,8.5,10.3,27,278
8,4.7,11.8,14.2,20,327
8,5.5,13.5,15.5,18,356
8,4.7,9.5,12.1,23,278
8,4.7,9.4,12,24,276
8,5.5,10.3,13.2,21,304
8,4.7,9.6,11.7,24,269
8,5.5,10.2,12.7,22,292
8,6,11.2,14.2,20,327
4,1.8,7.2,8.9,32,205
4,1.8,7.3,9,31,207
6,3.5,8.1,9.8,29,225
8,5.5,8.7,10.7,26,246
8,6.2,13.9,16.5,17,380
8,6.2,12.6,15.7,18,361
8,6.2,12.6,15.7,18,361
4,1.6,6.6,7.8,36,179
4,1.6,6.8,7.8,36,179
4,1.6,6.6,7.8,36,179
4,1.6,6.8,7.8,36,179
4,1.6,7.9,8.7,32,200
4,1.6,6.8,7.8,36,179
4,1.6,6.6,7.6,37,175
4,1.6,6.4,7.3,39,168
4,1.6,7.9,8.7,32,200
4,1.6,6.8,7.8,36,179
4,1.6,6.6,7.8,36,179
4,1.6,6.8,7.8,36,179
4,1.6,7,8.3,34,191
4,1.6,6.7,8,35,184
4,1.6,7,8.3,34,191
4,1.6,6.7,8,35,184
4,1.6,7.8,9,31,207
4,1.6,7.5,8.5,33,196
4,1.6,7,8.3,34,191
4,1.6,6.7,8,35,184
4,1.6,7.8,9,31,207
4,1.6,7.5,8.5,33,196
4,1.6,7,8.3,34,191
4,1.6,6.7,8,35,184
4,1.6,7,8.3,34,191
4,1.6,6.7,8,35,184
4,1.6,7,8.3,34,191
4,1.6,6.7,8,35,184
